# t(s)   slab-O_fcc    slab-OH_fcc    slab-H2O    H2O  
8.428428428428428321e-01 1.033322650224337280e-01 2.064964040532601269e-02 4.868294745116613246e-05 8.759694116247894735e-01
8.438438438438438105e-01 1.033322650228711004e-01 2.064964040541299520e-02 4.868294745113699453e-05 8.759694116242651152e-01
8.448448448448447889e-01 1.033322650233070433e-01 2.064964040549968974e-02 4.868294745110795146e-05 8.759694116237425332e-01
8.458458458458458784e-01 1.033322650237415430e-01 2.064964040558610325e-02 4.868294745107899649e-05 8.759694116232216166e-01
8.468468468468468568e-01 1.033322650241746132e-01 2.064964040567222880e-02 4.868294745105014316e-05 8.759694116227024763e-01
8.478478478478478353e-01 1.033322650246062541e-01 2.064964040575806986e-02 4.868294745102139147e-05 8.759694116221850013e-01
8.488488488488488137e-01 1.033322650250364516e-01 2.064964040584362295e-02 4.868294745099272788e-05 8.759694116216693027e-01
8.498498498498497922e-01 1.033322650254652059e-01 2.064964040592889155e-02 4.868294745096415915e-05 8.759694116211552695e-01
8.508508508508508816e-01 1.033322650258925446e-01 2.064964040601387565e-02 4.868294745093569207e-05 8.759694116206430126e-01
8.518518518518518601e-01 1.033322650263184261e-01 2.064964040609857526e-02 4.868294745090731308e-05 8.759694116201325320e-01
8.528528528528528385e-01 1.033322650267428783e-01 2.064964040618298691e-02 4.868294745087903573e-05 8.759694116196236058e-01
8.538538538538538170e-01 1.033322650271659010e-01 2.064964040626711406e-02 4.868294745085085325e-05 8.759694116191165669e-01
8.548548548548547954e-01 1.033322650275874804e-01 2.064964040635095671e-02 4.868294745082275886e-05 8.759694116186110824e-01
8.558558558558558849e-01 1.033322650280076305e-01 2.064964040643451140e-02 4.868294745079477289e-05 8.759694116181074852e-01
8.568568568568568633e-01 1.033322650284263372e-01 2.064964040651778160e-02 4.868294745076687501e-05 8.759694116176055534e-01
8.578578578578578417e-01 1.033322650288436145e-01 2.064964040660076730e-02 4.868294745073907200e-05 8.759694116171052869e-01
8.588588588588588202e-01 1.033322650292594486e-01 2.064964040668346504e-02 4.868294745071136386e-05 8.759694116166067968e-01
8.598598598598597986e-01 1.033322650296738532e-01 2.064964040676587828e-02 4.868294745068375736e-05 8.759694116161099720e-01
8.608608608608608881e-01 1.033322650300868284e-01 2.064964040684800703e-02 4.868294745065623896e-05 8.759694116156149235e-01
8.618618618618618665e-01 1.033322650304983603e-01 2.064964040692985128e-02 4.868294745062882220e-05 8.759694116151215404e-01
8.628628628628628450e-01 1.033322650309084489e-01 2.064964040701140757e-02 4.868294745060150030e-05 8.759694116146299336e-01
8.638638638638638234e-01 1.033322650313171082e-01 2.064964040709267937e-02 4.868294745057427327e-05 8.759694116141399922e-01
8.648648648648649129e-01 1.033322650317243380e-01 2.064964040717366320e-02 4.868294745054714111e-05 8.759694116136518272e-01
8.658658658658658913e-01 1.033322650321301245e-01 2.064964040725436253e-02 4.868294745052010382e-05 8.759694116131654384e-01
8.668668668668668698e-01 1.033322650325344816e-01 2.064964040733477738e-02 4.868294745049316818e-05 8.759694116126806041e-01
8.678678678678678482e-01 1.033322650329373954e-01 2.064964040741490772e-02 4.868294745046632062e-05 8.759694116121976570e-01
8.688688688688688266e-01 1.033322650333388659e-01 2.064964040749475011e-02 4.868294745043957471e-05 8.759694116117163754e-01
8.698698698698699161e-01 1.033322650337389209e-01 2.064964040757430799e-02 4.868294745041291689e-05 8.759694116112367590e-01
8.708708708708708945e-01 1.033322650341375187e-01 2.064964040765358139e-02 4.868294745038636071e-05 8.759694116107589190e-01
8.718718718718718730e-01 1.033322650345347010e-01 2.064964040773257029e-02 4.868294745035989940e-05 8.759694116102827444e-01
8.728728728728728514e-01 1.033322650349304261e-01 2.064964040781127122e-02 4.868294745033353296e-05 8.759694116098083461e-01
8.738738738738738299e-01 1.033322650353247357e-01 2.064964040788968766e-02 4.868294745030726138e-05 8.759694116093357241e-01
8.748748748748749193e-01 1.033322650357176020e-01 2.064964040796781614e-02 4.868294745028109145e-05 8.759694116088646565e-01
