t(s)            Temperature(K)  Pressure(Pa)    Density(kg/m3)  Mass(kg)        Volume(m3)      IntEnergy(J/kg) mdot_in(kg/s)   mdot_out(kg/s)  mdot_surf(kg/s) mdot(kg/s)      
8.65000000e-04  3.73150000e+02  1.08856479e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.64339639e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.10000000e-04  3.73150000e+02  1.09071599e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.67596757e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.55000000e-04  3.73150000e+02  1.09277333e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.70711774e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.00000000e-03  3.73150000e+02  1.09474283e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.73693791e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.45000000e-03  3.73150000e+02  1.11062652e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -1.97743243e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.90000000e-03  3.73150000e+02  1.12175763e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.14596835e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.35000000e-03  3.73150000e+02  1.12999162e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.27063897e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.80000000e-03  3.73150000e+02  1.13632930e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.36659768e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.25000000e-03  3.73150000e+02  1.14135812e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.44273891e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.70000000e-03  3.73150000e+02  1.14544559e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.50462715e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.15000000e-03  3.73150000e+02  1.14883340e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.55592194e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.60000000e-03  3.73150000e+02  1.15168704e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.59912878e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.05000000e-03  3.73150000e+02  1.15412361e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.63602079e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.50000000e-03  3.73150000e+02  1.15622831e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.66788809e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
5.95000000e-03  3.73150000e+02  1.15806464e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.69569180e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.40000000e-03  3.73150000e+02  1.15968083e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.72016257e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
6.85000000e-03  3.73150000e+02  1.16111424e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.74186581e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.30000000e-03  3.73150000e+02  1.16239422e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.76124590e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
7.75000000e-03  3.73150000e+02  1.16354414e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.77865689e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.20000000e-03  3.73150000e+02  1.16458288e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.79438438e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
8.65000000e-03  3.73150000e+02  1.16552581e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.80866128e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.10000000e-03  3.73150000e+02  1.16638561e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.82167943e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
9.55000000e-03  3.73150000e+02  1.16717280e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.83359827e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.00000000e-02  3.73150000e+02  1.16789621e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.84455140e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.45000000e-02  3.73150000e+02  1.17283604e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.91934523e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
1.90000000e-02  3.73150000e+02  1.17556487e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.96066246e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.35000000e-02  3.73150000e+02  1.17729568e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -2.98686850e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
2.80000000e-02  3.73150000e+02  1.17849132e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -3.00497177e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.25000000e-02  3.73150000e+02  1.17936678e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -3.01822710e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
3.70000000e-02  3.73150000e+02  1.18003548e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -3.02835190e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
4.00000000e-02  3.73150000e+02  1.18039995e+05  6.04897058e+00  6.04897058e-06  1.00000000e-06  -3.03387027e+06 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  
