# Transient Gas Mass fractions
t(s)            CH3CH2Br        TBAF            CH3CH2F         TBABr           C2H4            HF              
4.15000000e-03  6.19826589e-02  1.48730511e-01  6.76811071e-02  6.86884514e-01  2.02675952e-02  1.44536138e-02  
4.60000000e-03  5.70960737e-02  1.37004903e-01  6.91055976e-02  7.01341436e-01  2.06941692e-02  1.47578203e-02  
5.05000000e-03  5.29236794e-02  1.26993033e-01  7.03218940e-02  7.13685429e-01  2.10583979e-02  1.50175661e-02  
5.50000000e-03  4.93195667e-02  1.18344783e-01  7.13725304e-02  7.24348167e-01  2.13730185e-02  1.52419343e-02  
5.95000000e-03  4.61750377e-02  1.10799328e-01  7.22891934e-02  7.33651230e-01  2.16475199e-02  1.54376919e-02  
6.40000000e-03  4.34074546e-02  1.04158373e-01  7.30959727e-02  7.41839101e-01  2.18891157e-02  1.56099834e-02  
6.85000000e-03  4.09528722e-02  9.82684788e-02  7.38115090e-02  7.49100962e-01  2.21033882e-02  1.57627895e-02  
7.30000000e-03  3.87610328e-02  9.30090497e-02  7.44504530e-02  7.55585501e-01  2.22947246e-02  1.58992389e-02  
7.75000000e-03  3.67918932e-02  8.82840000e-02  7.50244777e-02  7.61411184e-01  2.24666205e-02  1.60218246e-02  
8.20000000e-03  3.50131534e-02  8.40158243e-02  7.55429989e-02  7.66673571e-01  2.26218954e-02  1.61325572e-02  
8.65000000e-03  3.33984718e-02  8.01413146e-02  7.60136954e-02  7.71450593e-01  2.27628488e-02  1.62330766e-02  
9.10000000e-03  3.19261517e-02  7.66084083e-02  7.64428921e-02  7.75806440e-01  2.28913748e-02  1.63247335e-02  
9.55000000e-03  3.05781606e-02  7.33738358e-02  7.68358455e-02  7.79794460e-01  2.30090476e-02  1.64086505e-02  
1.00000000e-02  2.93393882e-02  7.04013392e-02  7.71969606e-02  7.83459358e-01  2.31171861e-02  1.64857683e-02  
1.45000000e-02  2.08803932e-02  5.01035548e-02  7.96628458e-02  8.08485224e-01  2.38556131e-02  1.70123695e-02  
1.90000000e-02  1.62075180e-02  3.88907554e-02  8.10250376e-02  8.22309886e-01  2.42635312e-02  1.73032718e-02  
2.35000000e-02  1.32436812e-02  3.17788799e-02  8.18890270e-02  8.31078372e-01  2.45222590e-02  1.74877807e-02  
2.80000000e-02  1.11962462e-02  2.68659565e-02  8.24858756e-02  8.37135692e-01  2.47009896e-02  1.76152405e-02  
3.25000000e-02  9.69710206e-03  2.32686846e-02  8.29228918e-02  8.41570897e-01  2.48318572e-02  1.77085673e-02  
3.70000000e-02  8.55201289e-03  2.05209855e-02  8.32566973e-02  8.44958634e-01  2.49318176e-02  1.77798529e-02  
4.00000000e-02  7.92789877e-03  1.90233922e-02  8.34386331e-02  8.46805070e-01  2.49862996e-02  1.78187062e-02  
